log,spent_sol,pnl_sol,balance_sol
bot-sniper-3-rug_20260202_064127.log,0.0,0.0,100.0
bot-sniper-3-rug_20260202_081026.log,0.0,0.0,100.0
bot-sniper-3-rug_20260202_090111.log,0.0,0.0,100.0
bot-sniper-3-rug_20260202_092200.log,0.0,0.0,100.0
bot-sniper-3-rug_20260202_094254.log,0.0,0.0,100.0
bot-sniper-3-rug_20260202_095131.log,0.0,0.0,100.0
bot-sniper-3-rug_20260202_095324.log,0.0,0.0,100.0
bot-sniper-3-rug_20260202_115003.log,0.0,0.0,100.0
bot-sniper-3-rug_20260202_124223.log,0.0,0.0,100.0
bot-sniper-3-rug_20260202_131009.log,0.0,-4e-06,99.999996
bot-sniper-3-rug_20260203_073900.log,0.0,4e-06,100.0
bot-sniper-3-rug_20260203_080908.log,0.0,0.0,100.0
bot-sniper-3-rug_20260203_082545.log,0.0,-0.000229,99.999771
bot-sniper-3-rug_20260203_085616.log,0.0,0.0,99.999771
bot-sniper-3-rug_20260203_092448.log,0.0,-0.000216,99.999555
bot-sniper-3-rug_20260203_105939.log,0.0,-0.002119,99.99743600000001
bot-sniper-3-rug_20260203_111726.log,0.0,-0.001815,99.99562100000001
bot-sniper-3-rug_20260203_112601.log,0.0,-0.002335,99.99328600000001
bot-sniper-3-rug_20260203_114134.log,0.0,0.0,99.99328600000001
bot-sniper-3-rug_20260203_120220.log,0.0,-0.001347,99.99193900000002
bot-sniper-3-rug_20260203_120926.log,0.0,-0.001591,99.99034800000001
